arxivurl,doi,publisher,pages,journal,month,year,author,title,volume,eprint,number,school,address,code,url,location,booktitle,language,organization
https://arxiv.org/abs/2410.14176,10.1137/24M1706578,{Society for Industrial and Applied Mathematics},1833--1860,SIAM Journal on Numerical Analysis,August,2025,"Dziubek, Andrea and Hu, Kaibo and Karow, Michael and Neunteufel, Michael",Intrinsic {{Mixed Finite Element Methods}} for {{Linear Cosserat Elasticity}},,,,,,,,,,,
https://arxiv.org/abs/2301.02159,10.1090/mcom/4038,,,Mathematics of Computation,,2024,"Gawlik, Evan and Neunteufel, Michael",Finite Element Approximation of Scalar Curvature in Arbitrary Dimension,,,,,,,,,,,
https://arxiv.org/abs/2310.18802,10.1093/imanum/draf004,,draf004,IMA Journal of Numerical Analysis,March,2025,"Gawlik, Evan S and Neunteufel, Michael",Finite Element Approximation of the {{Einstein}} Tensor,,,,,,,,,,,
,10.5802/smai-jcm.98,,151--195,The SMAI Journal of computational mathematics,,2023,"Gopalakrishnan, Jay and Neunteufel, Michael and Sch{\""o}berl, Joachim and Wardetzky, Max",Analysis of Curvature Approximations via Covariant Curl and Incompatibility for {{Regge}} Metrics,9,,,,,,,,,,
,10.48550/arXiv.2311.01603,arXiv,,,September,2024,"Gopalakrishnan, Jay and Neunteufel, Michael and Sch{\""o}berl, Joachim and Wardetzky, Max",Generalizing {{Riemann}} Curvature to {{Regge}} Metrics,,2311.01603,arXiv:2311.01603,,,,,,,,
,10.1016/j.rinam.2024.100511,,100511,Results in Applied Mathematics,November,2024,"Gopalakrishnan, Jay and Neunteufel, Michael and Sch{\""o}berl, Joachim and Wardetzky, Max",On the Improved Convergence of Lifted Distributional {{Gauss}} Curvature from {{Regge}} Elements,24,,,,,,,,,,
,10.1007/s00158-020-02742-w,,1579--1607,Structural and Multidisciplinary Optimization,March,2021,"Gangl, Peter and Sturm, Kevin and Neunteufel, Michael and Sch{\""o}berl, Joachim",Fully and Semi-Automated Shape Differentiation in {{NGSolve}},63,,3,,,,,,,,
https://arxiv.org/abs/2005.04965,10.1016/j.cma.2020.113571,,113571,Computer Methods in Applied Mechanics and Engineering,February,2021,"Melching, David and Neunteufel, Michael and Sch{\""o}berl, Joachim and Stefanelli, Ulisse",A Finite-Strain Model for Incomplete Damage in Elastoplastic Materials,374,,,,,,,,,,
,10.34726/HSS.2021.85500,,181 pages,,,2021,"Neunteufel, Michael",Mixed Finite {{Element Methods For Nonlinear Continuum Mechanics}} and {{Shells}},,,,TU Wien,Vienna,,,,,,
,10.34726/hss.2017.47691,,,,,2017,"Neunteufel, Michael",Advanced Numerical Methods for Fluid Structure Interaction,,,,TU Wien,,,,,,,
